店家,x,y,地址,Ubereat,url,food,,fu,for bar and pie,,,
張蒲鹽酥雞,23.6917896,120.528184,雲林縣斗六市龍潭里龍潭北路16之2號,有,https://www.ubereats.com/tw/store/%E5%BC%B5%E8%92%B2%E9%B9%B9%E9%85%A5g/_wombUM2SNeiC9b8gr_Aiw?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,ubereats,,u,,,,
丐幫滷味雲科分舵,23.691823,120.5294514,雲林縣斗六市龍潭路11號,無,,,,n,,,,
韓手作廚房,23.6922423,120.5276326,雲林縣斗六市府文路121號,有,https://www.ubereats.com/tw/store/%E9%9F%93%E6%89%8B%E4%BD%9C%E5%BB%9A%E6%88%BF/xifVI7W-XMal5q1_0UpxKg?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,ubereats,,b,,,,
甘丹霸鐵板燒便當,23.6931157,120.5296012,雲林縣斗六市四維路70號,無,,,,n,,,,
醬人,23.6919791,120.5303711,雲林縣斗六市號龍潭路5-9號,無,,,,u,,,,
澤町拉麵,23.6923616,120.5311295,雲林縣斗六市龍潭路3-6號,有,https://www.ubereats.com/tw/store/%E6%BE%A4%E7%94%BA%E6%8B%89%E9%BA%B5/RyJRFmL9UIe2vrLRw5yTfQ?utm_source=google&utm_medium=organic&utm_campaign=place-action-link,ubereats,,u,,,,
花路米美食坊,23.692338,120.5309005,雲林縣斗六市龍潭路3-14號,無,,,,n,,,,
李東記肉骨茶專賣店,23.6920879,120.5294589,雲林縣斗六市龍潭路10號,無,,,,n,,,,
光字號涼麵，熱拌麵,23.6922923,120.5291352,雲林縣斗六市和平路19號,無,,,,n,,,,
甲意魯肉飯,23.7133836,120.5432718,雲林縣斗六市鎮北路68號,無,,,,n,,,,
微笑咖哩-斗六店,23.712008,120.5434006,雲林縣斗六市鎮北路38號,無,https://www.foodpanda.com.tw/restaurant/a3fw/wei-xiao-ka-li-yun-lin-dou-liu-dian?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,foodpanda,,f,,,,
吳記肉圓,23.710332,120.54147,雲林縣斗六市愛國街21巷10號,無,,,,n,,,,
